IdArticulo,Lista,Motivo
636,ESPECIAL,Producto no encontrado
637,ESPECIAL,Producto no encontrado
638,ESPECIAL,Producto no encontrado
639,ESPECIAL,Producto no encontrado
640,ESPECIAL,Producto no encontrado
641,ESPECIAL,Producto no encontrado
642,ESPECIAL,Producto no encontrado
643,ESPECIAL,Producto no encontrado
644,ESPECIAL,Producto no encontrado
645,ESPECIAL,Producto no encontrado
646,ESPECIAL,Producto no encontrado
647,ESPECIAL,Producto no encontrado
648,ESPECIAL,Producto no encontrado
649,ESPECIAL,Producto no encontrado
650,ESPECIAL,Producto no encontrado
651,ESPECIAL,Producto no encontrado
652,ESPECIAL,Producto no encontrado
653,ESPECIAL,Producto no encontrado
654,ESPECIAL,Producto no encontrado
655,ESPECIAL,Producto no encontrado
656,ESPECIAL,Producto no encontrado
657,ESPECIAL,Producto no encontrado
658,ESPECIAL,Producto no encontrado
659,ESPECIAL,Producto no encontrado
660,ESPECIAL,Producto no encontrado
661,ESPECIAL,Producto no encontrado
662,ESPECIAL,Producto no encontrado
663,ESPECIAL,Producto no encontrado
664,ESPECIAL,Producto no encontrado
665,ESPECIAL,Producto no encontrado
666,ESPECIAL,Producto no encontrado
667,ESPECIAL,Producto no encontrado
668,ESPECIAL,Producto no encontrado
669,ESPECIAL,Producto no encontrado
670,ESPECIAL,Producto no encontrado
671,ESPECIAL,Producto no encontrado
672,ESPECIAL,Producto no encontrado
673,ESPECIAL,Producto no encontrado
674,ESPECIAL,Producto no encontrado
675,ESPECIAL,Producto no encontrado
676,ESPECIAL,Producto no encontrado
677,ESPECIAL,Producto no encontrado
678,ESPECIAL,Producto no encontrado
679,ESPECIAL,Producto no encontrado
680,ESPECIAL,Producto no encontrado
681,ESPECIAL,Producto no encontrado
682,ESPECIAL,Producto no encontrado
683,ESPECIAL,Producto no encontrado
684,ESPECIAL,Producto no encontrado
685,ESPECIAL,Producto no encontrado
686,ESPECIAL,Producto no encontrado
687,ESPECIAL,Producto no encontrado
688,ESPECIAL,Producto no encontrado
689,ESPECIAL,Producto no encontrado
696,ESPECIAL,Producto no encontrado
697,ESPECIAL,Producto no encontrado
698,ESPECIAL,Producto no encontrado
699,ESPECIAL,Producto no encontrado
700,ESPECIAL,Producto no encontrado
701,ESPECIAL,Producto no encontrado
702,ESPECIAL,Producto no encontrado
703,ESPECIAL,Producto no encontrado
704,ESPECIAL,Producto no encontrado
705,ESPECIAL,Producto no encontrado
706,ESPECIAL,Producto no encontrado
707,ESPECIAL,Producto no encontrado
708,ESPECIAL,Producto no encontrado
709,ESPECIAL,Producto no encontrado
710,ESPECIAL,Producto no encontrado
711,ESPECIAL,Producto no encontrado
712,ESPECIAL,Producto no encontrado
713,ESPECIAL,Producto no encontrado
714,ESPECIAL,Producto no encontrado
715,ESPECIAL,Producto no encontrado
716,ESPECIAL,Producto no encontrado
717,ESPECIAL,Producto no encontrado
718,ESPECIAL,Producto no encontrado
719,ESPECIAL,Producto no encontrado
720,ESPECIAL,Producto no encontrado
721,ESPECIAL,Producto no encontrado
722,ESPECIAL,Producto no encontrado
723,ESPECIAL,Producto no encontrado
724,ESPECIAL,Producto no encontrado
725,ESPECIAL,Producto no encontrado
726,ESPECIAL,Producto no encontrado
727,ESPECIAL,Producto no encontrado
728,ESPECIAL,Producto no encontrado
729,ESPECIAL,Producto no encontrado
