IdArticulo,NombreLista,Motivo
6409,Consumidor Final X,Producto no encontrado en Odoo
6410,Consumidor Final X,Producto no encontrado en Odoo
6412,Consumidor Final X,Producto no encontrado en Odoo
6413,Consumidor Final X,Producto no encontrado en Odoo
6414,Consumidor Final X,Producto no encontrado en Odoo
6416,Consumidor Final X,Producto no encontrado en Odoo
6418,Consumidor Final X,Producto no encontrado en Odoo
6419,Consumidor Final X,Producto no encontrado en Odoo
6421,Consumidor Final X,Producto no encontrado en Odoo
6422,Consumidor Final X,Producto no encontrado en Odoo
6428,Consumidor Final X,Producto no encontrado en Odoo
6451,Consumidor Final X,Producto no encontrado en Odoo
6501,Consumidor Final X,Producto no encontrado en Odoo
6512,Consumidor Final X,Producto no encontrado en Odoo
7081,Consumidor Final X,Producto no encontrado en Odoo
7101,Consumidor Final X,Producto no encontrado en Odoo
7111,Consumidor Final X,Producto no encontrado en Odoo
7173,Consumidor Final X,Producto no encontrado en Odoo
7181,Consumidor Final X,Producto no encontrado en Odoo
7217,Consumidor Final X,Producto no encontrado en Odoo
7218,Consumidor Final X,Producto no encontrado en Odoo
7219,Consumidor Final X,Producto no encontrado en Odoo
7227,Consumidor Final X,Producto no encontrado en Odoo
7228,Consumidor Final X,Producto no encontrado en Odoo
7229,Consumidor Final X,Producto no encontrado en Odoo
7230,Consumidor Final X,Producto no encontrado en Odoo
7232,Consumidor Final X,Producto no encontrado en Odoo
7233,Consumidor Final X,Producto no encontrado en Odoo
7234,Consumidor Final X,Producto no encontrado en Odoo
7235,Consumidor Final X,Producto no encontrado en Odoo
7236,Consumidor Final X,Producto no encontrado en Odoo
7237,Consumidor Final X,Producto no encontrado en Odoo
7531,Consumidor Final X,Producto no encontrado en Odoo
7602,Consumidor Final X,Producto no encontrado en Odoo
7603,Consumidor Final X,Producto no encontrado en Odoo
7604,Consumidor Final X,Producto no encontrado en Odoo
7605,Consumidor Final X,Producto no encontrado en Odoo
7610,Consumidor Final X,Producto no encontrado en Odoo
7621,Consumidor Final X,Producto no encontrado en Odoo
7690,Consumidor Final X,Producto no encontrado en Odoo
7900,Consumidor Final X,Producto no encontrado en Odoo
7901,Consumidor Final X,Producto no encontrado en Odoo
8201,Consumidor Final X,Producto no encontrado en Odoo
8202,Consumidor Final X,Producto no encontrado en Odoo
8203,Consumidor Final X,Producto no encontrado en Odoo
8204,Consumidor Final X,Producto no encontrado en Odoo
8206,Consumidor Final X,Producto no encontrado en Odoo
8208,Consumidor Final X,Producto no encontrado en Odoo
8209,Consumidor Final X,Producto no encontrado en Odoo
8210,Consumidor Final X,Producto no encontrado en Odoo
8212,Consumidor Final X,Producto no encontrado en Odoo
8214,Consumidor Final X,Producto no encontrado en Odoo
8511,Consumidor Final X,Producto no encontrado en Odoo
8521,Consumidor Final X,Producto no encontrado en Odoo
9051,Consumidor Final X,Producto no encontrado en Odoo
9054,Consumidor Final X,Producto no encontrado en Odoo
9061,Consumidor Final X,Producto no encontrado en Odoo
9101,Consumidor Final X,Producto no encontrado en Odoo
9201,Consumidor Final X,Producto no encontrado en Odoo
07,INSTITUCIONAL,Producto no encontrado en Odoo
11,INSTITUCIONAL,Producto no encontrado en Odoo
12,INSTITUCIONAL,Producto no encontrado en Odoo
13,INSTITUCIONAL,Producto no encontrado en Odoo
271,INSTITUCIONAL,Producto no encontrado en Odoo
598,INSTITUCIONAL,Producto no encontrado en Odoo
763,INSTITUCIONAL,Producto no encontrado en Odoo
764,INSTITUCIONAL,Producto no encontrado en Odoo
770,INSTITUCIONAL,Producto no encontrado en Odoo
1001,INSTITUCIONAL,Producto no encontrado en Odoo
1002,INSTITUCIONAL,Producto no encontrado en Odoo
1261,INSTITUCIONAL,Producto no encontrado en Odoo
4294,INSTITUCIONAL,Producto no encontrado en Odoo
4685,INSTITUCIONAL,Producto no encontrado en Odoo
5213,INSTITUCIONAL,Producto no encontrado en Odoo
6301,INSTITUCIONAL,Producto no encontrado en Odoo
6302,INSTITUCIONAL,Producto no encontrado en Odoo
6451,INSTITUCIONAL,Producto no encontrado en Odoo
7610,INSTITUCIONAL,Producto no encontrado en Odoo
7621,INSTITUCIONAL,Producto no encontrado en Odoo
7690,INSTITUCIONAL,Producto no encontrado en Odoo
7723,INSTITUCIONAL,Producto no encontrado en Odoo
7724,INSTITUCIONAL,Producto no encontrado en Odoo
7725,INSTITUCIONAL,Producto no encontrado en Odoo
7727,INSTITUCIONAL,Producto no encontrado en Odoo
00002,INSTITUCIONAL,Producto no encontrado en Odoo
46861,INSTITUCIONAL,Producto no encontrado en Odoo
724,On-Line,Producto no encontrado en Odoo
835,On-Line,Producto no encontrado en Odoo
836,On-Line,Producto no encontrado en Odoo
837,On-Line,Producto no encontrado en Odoo
838,On-Line,Producto no encontrado en Odoo
07,INSTITUCIONAL II,Producto no encontrado en Odoo
11,INSTITUCIONAL II,Producto no encontrado en Odoo
12,INSTITUCIONAL II,Producto no encontrado en Odoo
13,INSTITUCIONAL II,Producto no encontrado en Odoo
271,INSTITUCIONAL II,Producto no encontrado en Odoo
598,INSTITUCIONAL II,Producto no encontrado en Odoo
